latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-8.46,-43.816,304.4,1,1,2019-09-27,0130,T,60,6.0NRT,294.1,5,N
-8.554,-44.532,307.3,1,1,2019-09-27,0130,T,71,6.0NRT,289.1,8.5,N
-8.424,-43.818,306,1,1,2019-09-27,0130,T,66,6.0NRT,294.1,5.6,N
-8.895,-47.435,305.1,1.2,1.1,2019-09-27,0130,T,51,6.0NRT,291.8,7,N
-8.003,-42.593,312.5,1.2,1.1,2019-09-27,0130,T,85,6.0NRT,297.5,10,N
-8.131,-45.96,327.7,1,1,2019-09-27,0130,T,100,6.0NRT,294.4,26.6,N
-8.133,-45.969,311.5,1,1,2019-09-27,0130,T,83,6.0NRT,293.1,10.6,N
-8.122,-45.961,320.2,1,1,2019-09-27,0130,T,100,6.0NRT,293.2,18.1,N
-8.123,-45.971,310,1,1,2019-09-27,0130,T,79,6.0NRT,293.2,9.4,N
-7.634,-42.744,305.7,1.2,1.1,2019-09-27,0130,T,15,6.0NRT,294.4,5.7,N
-7.624,-42.746,308.6,1.2,1.1,2019-09-27,0130,T,59,6.0NRT,294.8,8.2,N
-7.626,-42.756,312.7,1.1,1.1,2019-09-27,0130,T,85,6.0NRT,295.6,11.8,N
-8.197,-46.821,305,1.1,1,2019-09-27,0130,T,63,6.0NRT,293.6,5.4,N
-8.108,-47.053,302.5,1.1,1.1,2019-09-27,0130,T,49,6.0NRT,286.1,5.2,N
-7.432,-42.819,306.9,1.1,1.1,2019-09-27,0130,T,70,6.0NRT,293.4,7.8,N
-7.47,-43.145,311,1.1,1,2019-09-27,0130,T,79,6.0NRT,295,9.8,N
-7.46,-43.146,305.5,1.1,1,2019-09-27,0130,T,36,6.0NRT,294.2,5.6,N
-7.324,-42.977,308,1.1,1.1,2019-09-27,0130,T,73,6.0NRT,296.8,6.4,N
-7.599,-44.924,322.3,1,1,2019-09-27,0130,T,100,6.0NRT,295.2,18.4,N
-7.824,-46.595,306.5,1.1,1,2019-09-27,0130,T,68,6.0NRT,294.8,5.8,N
-7.816,-46.593,310.5,1.1,1,2019-09-27,0130,T,80,6.0NRT,294.9,9.5,N
-7.818,-46.602,305.8,1.1,1,2019-09-27,0130,T,66,6.0NRT,294.6,5.8,N
-7.295,-43.009,308.5,1.1,1.1,2019-09-27,0130,T,75,6.0NRT,295.2,7.9,N
-7.175,-42.526,328.1,1.2,1.1,2019-09-27,0130,T,100,6.0NRT,296.9,30.2,N
-7.163,-42.517,309.8,1.2,1.1,2019-09-27,0130,T,33,6.0NRT,296.8,7.9,N
-7.265,-43.198,305.1,1.1,1,2019-09-27,0130,T,63,6.0NRT,295,5.4,N
-7.294,-43.764,308.2,1.1,1,2019-09-27,0130,T,72,6.0NRT,296.6,6.4,N
-7.295,-43.773,319.4,1.1,1,2019-09-27,0130,T,99,6.0NRT,297.3,16.2,N
-7.133,-42.798,308.4,1.2,1.1,2019-09-27,0130,T,74,6.0NRT,295.1,8.1,N
-7.123,-42.799,313.4,1.2,1.1,2019-09-27,0130,T,87,6.0NRT,295.4,12.3,N
-7.12,-42.842,315.1,1.2,1.1,2019-09-27,0130,T,91,6.0NRT,295.2,13.9,N
-7.121,-42.852,312.7,1.2,1.1,2019-09-27,0130,T,85,6.0NRT,294.6,11.5,N
